ResettledState,Year ,TotalResettledState,RefugeeOrigin,RefugeesResettledState,ResettledCity,RefugeesResettledCity,RefugeesResettledUS
New Hampshire,CY 2015,428,Somalia,29,Manchester,13,"66,517"
New Jersey,CY 2016,601,Afghanistan,22,Elizabeth,13,"96,874"
New Jersey,CY 2015,328,Burma,20,Camden,13,"66,517"
New Jersey,CY 2011,254,Burma,32,Somerdale,13,"51,458"
New Jersey,CY 2011,254,Sudan,13,East Orange,13,"51,458"
New York,CY 2012,"3,754",Afghanistan,46,Albany,13,"66,292"
New York,CY 2012,"3,754",Burma,"1,139",Bronx,13,"66,292"
New York,CY 2012,"3,754",Burma,"1,139",Rensselaer,13,"66,292"
New York,CY 2016,"5,830",Burundi,44,Rochester,13,"96,874"
New York,CY 2012,"3,754",Eritrea,91,Syracuse,13,"66,292"
New York,CY 2012,"3,754",Ethiopia,26,Syracuse,13,"66,292"
New York,CY 2012,"3,754",Iran,40,New York,13,"66,292"
New York,CY 2012,"3,754",Iraq,402,Amherst,13,"66,292"
New York,CY 2016,"5,830",Iraq,457,Binghamton,13,"96,874"
New York,CY 2016,"5,830",Iraq,457,Henrietta,13,"96,874"
New York,CY 2011,"3,421",Russia,13,New York,13,"51,458"
New York,CY 2014,"4,012",Sudan,51,Utica,13,"72,820"
New York,CY 2016,"5,830",Syria,803,Brooklyn,13,"96,874"
New York,CY 2014,"4,012",Ukraine,72,Syracuse,13,"72,820"
New York,CY 2012,"3,754",Ukraine,36,Utica,13,"66,292"
New York,CY 2011,"3,421",Uzbekistan,16,New York,13,"51,458"
North Carolina,CY 2013,"2,228",Afghanistan,14,Raleigh,13,"66,066"
North Carolina,CY 2014,"2,481",Eritrea,61,Charlotte,13,"72,820"
North Carolina,CY 2016,"3,719",Eritrea,107,Charlotte,13,"96,874"
North Carolina,CY 2013,"2,228",Eritrea,94,Durham,13,"66,066"
North Carolina,CY 2016,"3,719",Eritrea,107,High Point,13,"96,874"
North Carolina,CY 2015,"2,369",Ethiopia,36,Greensboro,13,"66,517"
North Carolina,CY 2015,"2,369",Iraq,169,Charlotte,13,"66,517"
North Carolina,CY 2010,"2,360",Iraq,274,Fayetteville,13,"71,362"
North Carolina,CY 2011,"1,899",Pakistan,13,Raleigh,13,"51,458"
North Dakota,CY 2012,487,Dem. Rep. Congo,13,Fargo,13,"66,292"
North Dakota,CY 2011,402,Eritrea,13,Fargo,13,"51,458"
North Dakota,CY 2011,402,Somalia,18,Grand Forks,13,"51,458"
Ohio,CY 2016,"4,857",Bhutan,"1,319",Reynoldsburg,13,"96,874"
Ohio,CY 2015,"2,898",Burma,258,Lakewood,13,"66,517"
Ohio,CY 2013,"2,745",Colombia,13,Dayton,13,"66,066"
